premise,conclusion,kind,cross_attribute_part,support
alcohol>=13,"alcohol>=11, density=light, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"density=light, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",4
quality>=acceptable(5),,trivial (universal conclusion),,192
quality>=good(7),quality>=acceptable(5),scale artifact,,27
quality>=excellent(8),"alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",2
"fixed_acidity>=low(6), residual_sugar=sweet","chlorides=low_salt, citric_acid_present, density=heavy, fixed_acidity>=high(10), fixed_acidity>=medium(8), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, density=heavy, free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",1
"alcohol>=13, fixed_acidity>=low(6)","alcohol>=11, density=light, pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"density=light, pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",2
"fixed_acidity>=low(6), quality>=excellent(8)","alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",1
"fixed_acidity>=medium(8), volatile_acidity>=high(0.7)","fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"quality>=acceptable(5), residual_sugar=dry",11
"citric_acid_absent, fixed_acidity>=medium(8)","fixed_acidity>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"residual_sugar=dry, volatile_acidity>=low(0.3)",22
"fixed_acidity>=medium(8), residual_sugar=off_dry","citric_acid_present, density=heavy, fixed_acidity>=low(6), pH=neutral_range, quality>=acceptable(5)",data-induced,"citric_acid_present, density=heavy, pH=neutral_range, quality>=acceptable(5)",10
"fixed_acidity>=medium(8), residual_sugar=sweet","chlorides=low_salt, citric_acid_present, density=heavy, fixed_acidity>=high(10), fixed_acidity>=low(6), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, density=heavy, free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",1
"fixed_acidity>=medium(8), free_so2>=high(30)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",data-induced,"quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",5
"fixed_acidity>=medium(8), total_so2>=high(100)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), residual_sugar=dry, total_so2>=low(20), total_so2>=medium(60)",data-induced,"free_so2>=low(6), free_so2>=medium(15), residual_sugar=dry",4
"density=light, fixed_acidity>=medium(8)","fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry",data-induced,"quality>=acceptable(5), residual_sugar=dry",23
"fixed_acidity>=medium(8), pH<=acidic(3.1)","fixed_acidity>=low(6), free_so2>=low(6), residual_sugar=dry",data-induced,"free_so2>=low(6), residual_sugar=dry",19
"fixed_acidity>=medium(8), pH>=basic(3.4)","fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",5
"alcohol>=11, fixed_acidity>=medium(8)","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,quality>=acceptable(5),30
"alcohol>=13, fixed_acidity>=medium(8)","alcohol>=11, chlorides=high_salt, citric_acid_present, density=light, fixed_acidity>=low(6), pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"chlorides=high_salt, citric_acid_present, density=light, pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",1
"fixed_acidity>=medium(8), quality>=good(7)","citric_acid_present, fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,citric_acid_present,13
"fixed_acidity>=medium(8), quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"fixed_acidity>=high(10), volatile_acidity>=high(0.7)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"citric_acid_absent, fixed_acidity>=high(10)","fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",5
"fixed_acidity>=high(10), residual_sugar=off_dry","citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6)",data-induced,"citric_acid_present, density=heavy, pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6)",5
"fixed_acidity>=high(10), residual_sugar=sweet","chlorides=low_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, density=heavy, free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",1
"chlorides=low_salt, fixed_acidity>=high(10)","fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6)",data-induced,free_so2>=low(6),13
"chlorides=high_salt, fixed_acidity>=high(10)","fixed_acidity>=low(6), fixed_acidity>=medium(8), quality>=acceptable(5)",data-induced,quality>=acceptable(5),31
"fixed_acidity>=high(10), free_so2>=medium(15)","density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"density=heavy, quality>=acceptable(5), total_so2>=low(20)",14
"fixed_acidity>=high(10), free_so2>=high(30)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"fixed_acidity>=high(10), total_so2>=medium(60)","citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"citric_acid_present, density=heavy, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), volatile_acidity>=low(0.3)",4
"fixed_acidity>=high(10), total_so2>=high(100)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"density=light, fixed_acidity>=high(10)","fixed_acidity>=low(6), fixed_acidity>=medium(8), quality>=acceptable(5), residual_sugar=dry",data-induced,"quality>=acceptable(5), residual_sugar=dry",3
"fixed_acidity>=high(10), pH<=acidic(3.1)","fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), residual_sugar=dry",data-induced,"free_so2>=low(6), residual_sugar=dry",15
"fixed_acidity>=high(10), pH>=basic(3.4)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"fixed_acidity>=high(10), sulphates>=high(0.8)","citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), quality>=acceptable(5), sulphates>=medium(0.6)",data-induced,"citric_acid_present, density=heavy, quality>=acceptable(5)",7
"alcohol>=11, fixed_acidity>=high(10)","citric_acid_present, fixed_acidity>=low(6), fixed_acidity>=medium(8), quality>=acceptable(5)",data-induced,"citric_acid_present, quality>=acceptable(5)",12
"alcohol>=13, fixed_acidity>=high(10)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"fixed_acidity>=high(10), quality>=good(7)","citric_acid_present, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6)",data-induced,"citric_acid_present, free_so2>=low(6), residual_sugar=dry, sulphates>=medium(0.6)",8
"fixed_acidity>=high(10), quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"residual_sugar=sweet, volatile_acidity>=low(0.3)","chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",data-induced,"chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",1
"citric_acid_present, volatile_acidity>=medium(0.5)","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,fixed_acidity>=low(6),21
"residual_sugar=sweet, volatile_acidity>=medium(0.5)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"pH<=acidic(3.1), volatile_acidity>=medium(0.5)","fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), residual_sugar=dry",6
"pH=neutral_range, volatile_acidity>=medium(0.5)","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,fixed_acidity>=low(6),59
"sulphates>=high(0.8), volatile_acidity>=medium(0.5)","free_so2>=low(6), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), residual_sugar=dry, total_so2>=low(20)",7
"alcohol>=13, volatile_acidity>=medium(0.5)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"quality>=good(7), volatile_acidity>=medium(0.5)","free_so2>=low(6), quality>=acceptable(5), volatile_acidity>=low(0.3)",data-induced,free_so2>=low(6),7
"quality>=excellent(8), volatile_acidity>=medium(0.5)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"citric_acid_present, volatile_acidity>=high(0.7)","density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20)",2
"residual_sugar=off_dry, volatile_acidity>=high(0.7)","chlorides=high_salt, citric_acid_absent, density=heavy, fixed_acidity>=low(6), pH>=basic(3.4), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, citric_acid_absent, density=heavy, fixed_acidity>=low(6), pH>=basic(3.4)",1
"residual_sugar=sweet, volatile_acidity>=high(0.7)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"chlorides=low_salt, volatile_acidity>=high(0.7)","fixed_acidity>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), residual_sugar=dry",15
"free_so2>=low(6), volatile_acidity>=high(0.7)","fixed_acidity>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), residual_sugar=dry",21
"free_so2>=medium(15), volatile_acidity>=high(0.7)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",6
"free_so2>=high(30), volatile_acidity>=high(0.7)","alcohol>=11, chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",1
"total_so2>=low(20), volatile_acidity>=high(0.7)","fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry",17
