step,decision,premise,conclusion,counterexample_wine_id
35,REFUTE,high_free_so2;high_residual_sugar,citric_acid_present;high_density,33
36,REFUTE,high_free_so2;high_residual_sugar,high_density,270
37,REFUTE,high_pH;high_residual_sugar,high_volatile_acidity,154
38,REFUTE,high_alcohol;high_residual_sugar,citric_acid_present;high_fixed_acidity;high_sulphates,494
39,REFUTE,good_quality;high_residual_sugar,citric_acid_present;high_alcohol;high_density;high_fixed_acidity;high_sulphates,279
40,REFUTE,good_quality;high_residual_sugar,citric_acid_present;high_density;high_fixed_acidity;high_sulphates,645
41,REFUTE,good_quality;high_residual_sugar,high_density;high_sulphates,903
42,REFUTE,high_alcohol;high_chlorides,high_volatile_acidity,314
43,REFUTE,good_quality;high_chlorides,high_sulphates,941
44,REFUTE,good_quality;high_total_so2,citric_acid_present;high_chlorides;high_fixed_acidity;high_free_so2;high_sulphates,198
45,REFUTE,good_quality;high_total_so2,high_sulphates,836
46,REFUTE,high_alcohol;high_density,citric_acid_present;good_quality;high_sulphates,327
47,REFUTE,high_alcohol;high_density,citric_acid_present;high_sulphates,543
48,REFUTE,high_alcohol;high_density,high_sulphates,556
49,REFUTE,good_quality;high_density,high_sulphates,1147
50,REFUTE,good_quality;high_pH,high_volatile_acidity,230
51,REFUTE,high_fixed_acidity;high_residual_sugar;high_volatile_acidity,citric_acid_present;high_alcohol,364
52,REFUTE,high_fixed_acidity;high_residual_sugar;high_volatile_acidity,citric_acid_present,415
53,REFUTE,high_fixed_acidity;high_free_so2;high_volatile_acidity,high_chlorides,190
54,REFUTE,high_fixed_acidity;high_total_so2;high_volatile_acidity,high_density;high_free_so2;high_sulphates,32
55,REFUTE,high_fixed_acidity;high_total_so2;high_volatile_acidity,high_free_so2;high_sulphates,103
56,CONFIRM,good_quality;high_fixed_acidity;high_volatile_acidity,high_sulphates,
57,REFUTE,citric_acid_present;high_fixed_acidity;high_total_so2,high_free_so2,115
58,REFUTE,citric_acid_present;high_fixed_acidity;high_pH,high_sulphates,615
59,REFUTE,high_fixed_acidity;high_free_so2;high_residual_sugar,high_density,1038
60,REFUTE,high_fixed_acidity;high_residual_sugar;high_total_so2,high_density;high_free_so2;high_sulphates,595
61,REFUTE,high_fixed_acidity;high_residual_sugar;high_total_so2,high_density;high_free_so2,608
62,CONFIRM,high_fixed_acidity;high_residual_sugar;high_total_so2,high_density,
63,CONFIRM,high_fixed_acidity;high_pH;high_residual_sugar,citric_acid_present;high_alcohol;high_sulphates;high_volatile_acidity,
64,CONFIRM,high_alcohol;high_fixed_acidity;high_residual_sugar,citric_acid_present,
65,CONFIRM,good_quality;high_fixed_acidity;high_residual_sugar,citric_acid_present,
66,REFUTE,high_chlorides;high_fixed_acidity;high_pH,high_density;high_volatile_acidity,75
67,REFUTE,high_chlorides;high_fixed_acidity;high_pH,high_density,126
68,REFUTE,good_quality;high_chlorides;high_fixed_acidity,citric_acid_present,288
69,REFUTE,high_fixed_acidity;high_free_so2;high_pH,citric_acid_present;high_density,266
70,REFUTE,high_fixed_acidity;high_free_so2;high_pH,high_density,853
71,REFUTE,high_alcohol;high_fixed_acidity;high_free_so2,high_sulphates,333
72,CONFIRM,good_quality;high_fixed_acidity;high_free_so2,high_sulphates,
73,REFUTE,high_fixed_acidity;high_pH;high_total_so2,high_density;high_free_so2;high_volatile_acidity,633
74,REFUTE,high_fixed_acidity;high_pH;high_total_so2,high_density;high_volatile_acidity,925
75,REFUTE,high_alcohol;high_fixed_acidity;high_total_so2,high_pH;high_sulphates,338
76,REFUTE,high_alcohol;high_fixed_acidity;high_total_so2,high_sulphates,1017
77,CONFIRM,good_quality;high_fixed_acidity;high_total_so2,citric_acid_present;high_free_so2;high_sulphates,
78,REFUTE,high_alcohol;high_fixed_acidity;high_pH,high_sulphates,731
79,CONFIRM,good_quality;high_fixed_acidity;high_pH,high_sulphates,
80,CONFIRM,good_quality;high_alcohol;high_fixed_acidity,citric_acid_present,
81,REFUTE,citric_acid_present;high_total_so2;high_volatile_acidity,high_density,61
82,REFUTE,citric_acid_present;good_quality;high_volatile_acidity,high_chlorides;high_density;high_fixed_acidity;high_residual_sugar;high_sulphates,318
83,REFUTE,citric_acid_present;good_quality;high_volatile_acidity,high_chlorides;high_density;high_fixed_acidity;high_sulphates,657
84,REFUTE,citric_acid_present;good_quality;high_volatile_acidity,high_density;high_fixed_acidity;high_sulphates,887
85,REFUTE,citric_acid_present;good_quality;high_volatile_acidity,high_fixed_acidity;high_sulphates,1120
86,CONFIRM,citric_acid_present;good_quality;high_volatile_acidity,high_sulphates,
87,REFUTE,high_free_so2;high_residual_sugar;high_volatile_acidity,high_total_so2,624
88,REFUTE,high_alcohol;high_residual_sugar;high_volatile_acidity,citric_acid_present;high_fixed_acidity,659
89,REFUTE,good_quality;high_chlorides;high_volatile_acidity,high_density;high_sulphates,62
90,REFUTE,good_quality;high_chlorides;high_volatile_acidity,high_sulphates,1024
91,REFUTE,high_alcohol;high_total_so2;high_volatile_acidity,high_pH,353
92,REFUTE,good_quality;high_total_so2;high_volatile_acidity,high_alcohol;high_pH;high_sulphates,420
93,CONFIRM,good_quality;high_total_so2;high_volatile_acidity,high_alcohol;high_sulphates,
94,REFUTE,high_alcohol;high_density;high_volatile_acidity,high_chlorides,466
95,CONFIRM,good_quality;high_density;high_volatile_acidity,high_sulphates,
96,REFUTE,good_quality;high_alcohol;high_volatile_acidity,high_sulphates,421
97,REFUTE,citric_acid_present;high_chlorides;high_residual_sugar,high_fixed_acidity,917
98,REFUTE,citric_acid_present;high_residual_sugar;high_total_so2,high_density,649
99,REFUTE,citric_acid_present;high_pH;high_residual_sugar,high_sulphates,1437
100,REFUTE,citric_acid_present;good_quality;high_residual_sugar,high_fixed_acidity,1079
101,REFUTE,citric_acid_present;good_quality;high_chlorides,high_fixed_acidity,281
102,REFUTE,citric_acid_present;high_pH;high_total_so2,high_free_so2,767
103,REFUTE,citric_acid_present;high_alcohol;high_total_so2,high_free_so2,906
104,CONFIRM,citric_acid_present;good_quality;high_total_so2,high_free_so2,
105,REFUTE,citric_acid_present;good_quality;high_pH,high_alcohol;high_fixed_acidity;high_free_so2;high_sulphates;high_total_so2,826
106,REFUTE,citric_acid_present;good_quality;high_pH,high_alcohol;high_sulphates,1075
107,CONFIRM,citric_acid_present;good_quality;high_pH,high_sulphates,
108,REFUTE,high_chlorides;high_residual_sugar;high_total_so2,high_volatile_acidity,652
109,CONFIRM,high_chlorides;high_pH;high_residual_sugar,high_volatile_acidity,
110,REFUTE,good_quality;high_free_so2;high_residual_sugar,citric_acid_present;high_alcohol,1043
111,CONFIRM,good_quality;high_free_so2;high_residual_sugar,citric_acid_present,
112,CONFIRM,high_pH;high_residual_sugar;high_total_so2,high_free_so2,
113,REFUTE,high_alcohol;high_residual_sugar;high_total_so2,high_free_so2,1235
114,CONFIRM,good_quality;high_residual_sugar;high_total_so2,citric_acid_present;high_alcohol;high_free_so2,
115,CONFIRM,good_quality;high_pH;high_residual_sugar,high_volatile_acidity,
116,REFUTE,high_alcohol;high_residual_sugar;high_sulphates,citric_acid_present;high_fixed_acidity,1114
117,REFUTE,high_alcohol;high_residual_sugar;high_sulphates,citric_acid_present,1133
118,REFUTE,high_chlorides;high_free_so2;high_pH,high_sulphates,12
119,REFUTE,good_quality;high_chlorides;high_free_so2,high_fixed_acidity;high_sulphates,901
120,REFUTE,good_quality;high_chlorides;high_free_so2,high_sulphates,1036
121,REFUTE,high_chlorides;high_pH;high_total_so2,high_density;high_sulphates,107
122,REFUTE,high_chlorides;high_pH;high_total_so2,high_sulphates,146
123,CONFIRM,high_alcohol;high_chlorides;high_total_so2,high_sulphates,
124,CONFIRM,good_quality;high_chlorides;high_total_so2,citric_acid_present;high_fixed_acidity;high_free_so2;high_sulphates,
125,CONFIRM,good_quality;high_chlorides;high_density,high_sulphates,
126,REFUTE,high_alcohol;high_chlorides;high_pH,high_volatile_acidity,315
127,REFUTE,good_quality;high_chlorides;high_pH,high_density;high_free_so2;high_sulphates;high_volatile_acidity,958
128,REFUTE,good_quality;high_chlorides;high_pH,high_free_so2;high_sulphates;high_volatile_acidity,996
129,REFUTE,good_quality;high_chlorides;high_pH,high_sulphates;high_volatile_acidity,1030
130,REFUTE,good_quality;high_chlorides;high_pH,high_volatile_acidity,1111
131,CONFIRM,high_alcohol;high_density;high_free_so2,high_sulphates,
132,CONFIRM,good_quality;high_density;high_free_so2,high_sulphates,
133,REFUTE,high_alcohol;high_density;high_total_so2,high_chlorides;high_fixed_acidity;high_sulphates,501
134,REFUTE,high_alcohol;high_density;high_total_so2,high_fixed_acidity;high_sulphates,1426
135,CONFIRM,high_alcohol;high_density;high_total_so2,high_sulphates,
136,CONFIRM,good_quality;high_density;high_total_so2,citric_acid_present;high_fixed_acidity;high_free_so2;high_sulphates,
137,CONFIRM,good_quality;high_pH;high_total_so2,high_sulphates,
138,CONFIRM,good_quality;high_density;high_pH,high_free_so2;high_sulphates,
139,CONFIRM,good_quality;high_alcohol;high_density,citric_acid_present,
140,REFUTE,citric_acid_present;high_fixed_acidity;high_total_so2;high_volatile_acidity,high_density,109
141,CONFIRM,high_chlorides;high_fixed_acidity;high_residual_sugar;high_volatile_acidity,high_density,
142,CONFIRM,high_fixed_acidity;high_free_so2;high_residual_sugar;high_volatile_acidity,high_chlorides;high_density;high_total_so2,
143,REFUTE,high_density;high_fixed_acidity;high_residual_sugar;high_volatile_acidity,high_chlorides,705
144,REFUTE,high_fixed_acidity;high_free_so2;high_pH;high_volatile_acidity,high_density;high_total_so2,726
145,CONFIRM,high_fixed_acidity;high_free_so2;high_pH;high_volatile_acidity,high_density,
146,CONFIRM,high_fixed_acidity;high_pH;high_total_so2;high_volatile_acidity,high_density,
147,CONFIRM,high_alcohol;high_fixed_acidity;high_total_so2;high_volatile_acidity,high_chlorides;high_density;high_sulphates,
148,CONFIRM,citric_acid_present;high_chlorides;high_fixed_acidity;high_pH,high_sulphates,
149,CONFIRM,citric_acid_present;high_fixed_acidity;high_pH;high_total_so2,high_free_so2,
150,CONFIRM,citric_acid_present;high_alcohol;high_fixed_acidity;high_total_so2,high_free_so2,
151,CONFIRM,citric_acid_present;high_alcohol;high_fixed_acidity;high_pH,high_sulphates,
152,CONFIRM,high_chlorides;high_fixed_acidity;high_free_so2;high_residual_sugar,high_density;high_total_so2,
153,REFUTE,high_chlorides;high_fixed_acidity;high_residual_sugar;high_sulphates,high_density,913
154,REFUTE,high_chlorides;high_fixed_acidity;high_free_so2;high_pH,high_sulphates,678
155,CONFIRM,high_chlorides;high_fixed_acidity;high_pH;high_total_so2,high_density;high_volatile_acidity,
156,CONFIRM,high_alcohol;high_chlorides;high_fixed_acidity;high_pH,high_density;high_volatile_acidity,
157,CONFIRM,high_alcohol;high_fixed_acidity;high_free_so2;high_total_so2,citric_acid_present,
158,CONFIRM,high_alcohol;high_fixed_acidity;high_free_so2;high_pH,high_sulphates,
159,CONFIRM,high_alcohol;high_fixed_acidity;high_pH;high_total_so2,high_sulphates,
160,CONFIRM,high_alcohol;high_density;high_fixed_acidity;high_pH,high_chlorides;high_volatile_acidity,
161,REFUTE,citric_acid_present;high_chlorides;high_residual_sugar;high_volatile_acidity,high_density;high_fixed_acidity,1257
162,CONFIRM,citric_acid_present;high_pH;high_residual_sugar;high_volatile_acidity,high_alcohol,
163,REFUTE,citric_acid_present;high_alcohol;high_total_so2;high_volatile_acidity,high_chlorides;high_sulphates,861
164,CONFIRM,citric_acid_present;high_alcohol;high_total_so2;high_volatile_acidity,high_sulphates,
165,REFUTE,citric_acid_present;high_density;high_pH;high_volatile_acidity,high_total_so2,100
166,REFUTE,citric_acid_present;high_alcohol;high_density;high_volatile_acidity,high_fixed_acidity,623
167,CONFIRM,good_quality;high_chlorides;high_residual_sugar;high_volatile_acidity,high_density;high_sulphates,
168,REFUTE,high_alcohol;high_free_so2;high_residual_sugar;high_volatile_acidity,citric_acid_present,1176
169,CONFIRM,high_alcohol;high_residual_sugar;high_total_so2;high_volatile_acidity,citric_acid_present;high_chlorides;high_sulphates,
170,CONFIRM,high_alcohol;high_density;high_residual_sugar;high_volatile_acidity,high_chlorides,
171,REFUTE,high_alcohol;high_residual_sugar;high_sulphates;high_volatile_acidity,citric_acid_present,1540
172,CONFIRM,good_quality;high_residual_sugar;high_sulphates;high_volatile_acidity,high_chlorides;high_density,
173,REFUTE,good_quality;high_alcohol;high_residual_sugar;high_volatile_acidity,citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_pH;high_sulphates;high_total_so2,375
174,CONFIRM,good_quality;high_alcohol;high_residual_sugar;high_volatile_acidity,citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_sulphates,
175,CONFIRM,good_quality;high_chlorides;high_free_so2;high_volatile_acidity,high_sulphates,
176,REFUTE,high_alcohol;high_free_so2;high_total_so2;high_volatile_acidity,citric_acid_present;high_sulphates,95
177,REFUTE,high_alcohol;high_free_so2;high_total_so2;high_volatile_acidity,high_sulphates,888
178,REFUTE,citric_acid_present;high_chlorides;high_free_so2;high_residual_sugar,high_density,1501
179,CONFIRM,citric_acid_present;good_quality;high_chlorides;high_residual_sugar,high_fixed_acidity,
180,CONFIRM,citric_acid_present;high_density;high_pH;high_residual_sugar,high_free_so2;high_sulphates;high_total_so2,
181,CONFIRM,citric_acid_present;high_alcohol;high_density;high_residual_sugar,high_fixed_acidity,
182,CONFIRM,citric_acid_present;good_quality;high_density;high_residual_sugar,high_fixed_acidity,
183,CONFIRM,citric_acid_present;good_quality;high_residual_sugar;high_sulphates,high_fixed_acidity,
184,REFUTE,citric_acid_present;high_chlorides;high_free_so2;high_pH,high_sulphates,975
185,REFUTE,citric_acid_present;high_alcohol;high_chlorides;high_density,high_fixed_acidity,1451
186,CONFIRM,citric_acid_present;high_alcohol;high_pH;high_total_so2,high_free_so2;high_sulphates,
187,CONFIRM,citric_acid_present;high_alcohol;high_density;high_pH,high_free_so2;high_sulphates,
188,CONFIRM,high_alcohol;high_chlorides;high_free_so2;high_residual_sugar,citric_acid_present;high_density;high_fixed_acidity;high_sulphates;high_total_so2,
189,REFUTE,high_chlorides;high_density;high_residual_sugar;high_total_so2,high_fixed_acidity,57
190,CONFIRM,high_alcohol;high_free_so2;high_residual_sugar;high_sulphates,citric_acid_present,
191,CONFIRM,high_alcohol;high_residual_sugar;high_sulphates;high_total_so2,citric_acid_present,
192,CONFIRM,high_density;high_pH;high_residual_sugar;high_sulphates,high_free_so2,
193,CONFIRM,high_alcohol;high_density;high_pH;high_residual_sugar,high_chlorides;high_volatile_acidity,
194,CONFIRM,high_alcohol;high_density;high_residual_sugar;high_sulphates,citric_acid_present;high_fixed_acidity,
195,REFUTE,high_alcohol;high_chlorides;high_free_so2;high_pH,high_sulphates,569
196,CONFIRM,good_quality;high_chlorides;high_free_so2;high_pH,high_sulphates,
197,CONFIRM,high_alcohol;high_chlorides;high_density;high_pH,high_volatile_acidity,
198,CONFIRM,citric_acid_present;high_density;high_fixed_acidity;high_residual_sugar;high_volatile_acidity,high_chlorides,
199,CONFIRM,citric_acid_present;high_alcohol;high_chlorides;high_fixed_acidity;high_volatile_acidity,high_density,
200,REFUTE,citric_acid_present;high_alcohol;high_fixed_acidity;high_free_so2;high_volatile_acidity,high_sulphates,668
201,CONFIRM,high_density;high_fixed_acidity;high_residual_sugar;high_total_so2;high_volatile_acidity,high_chlorides,
202,CONFIRM,high_density;high_fixed_acidity;high_residual_sugar;high_sulphates;high_volatile_acidity,high_chlorides,
203,CONFIRM,high_chlorides;high_fixed_acidity;high_pH;high_sulphates;high_volatile_acidity,high_density,
204,REFUTE,high_alcohol;high_chlorides;high_fixed_acidity;high_sulphates;high_volatile_acidity,high_density,1039
205,CONFIRM,good_quality;high_chlorides;high_fixed_acidity;high_sulphates;high_volatile_acidity,high_density,
206,REFUTE,high_density;high_fixed_acidity;high_pH;high_sulphates;high_volatile_acidity,high_chlorides,641
207,CONFIRM,citric_acid_present;high_alcohol;high_fixed_acidity;high_free_so2;high_residual_sugar,high_sulphates,
208,REFUTE,citric_acid_present;high_alcohol;high_chlorides;high_fixed_acidity;high_free_so2,high_density;high_sulphates,817
209,REFUTE,citric_acid_present;high_alcohol;high_chlorides;high_fixed_acidity;high_free_so2,high_sulphates,1215
210,REFUTE,citric_acid_present;good_quality;high_fixed_acidity;high_pH;high_sulphates,high_free_so2;high_total_so2,857
211,REFUTE,citric_acid_present;good_quality;high_fixed_acidity;high_pH;high_sulphates,high_free_so2,948
212,REFUTE,high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_pH,high_volatile_acidity,520
213,REFUTE,high_alcohol;high_chlorides;high_fixed_acidity;high_sulphates;high_total_so2,high_density,918
214,CONFIRM,good_quality;high_chlorides;high_fixed_acidity;high_pH;high_sulphates,citric_acid_present;high_alcohol;high_density;high_free_so2;high_residual_sugar;high_total_so2;high_volatile_acidity,
215,CONFIRM,good_quality;high_fixed_acidity;high_free_so2;high_pH;high_sulphates,citric_acid_present,
216,CONFIRM,citric_acid_present;high_chlorides;high_free_so2;high_residual_sugar;high_volatile_acidity,high_total_so2,
217,REFUTE,citric_acid_present;high_chlorides;high_density;high_residual_sugar;high_volatile_acidity,high_fixed_acidity,1388
218,CONFIRM,citric_acid_present;high_density;high_free_so2;high_residual_sugar;high_volatile_acidity,high_total_so2,
219,CONFIRM,citric_acid_present;high_free_so2;high_residual_sugar;high_sulphates;high_volatile_acidity,high_density;high_total_so2,
220,REFUTE,citric_acid_present;high_chlorides;high_density;high_free_so2;high_volatile_acidity,high_fixed_acidity,46
221,REFUTE,citric_acid_present;high_chlorides;high_free_so2;high_pH;high_volatile_acidity,high_sulphates;high_total_so2,384
222,CONFIRM,citric_acid_present;high_chlorides;high_free_so2;high_pH;high_volatile_acidity,high_sulphates,
223,CONFIRM,citric_acid_present;high_alcohol;high_chlorides;high_free_so2;high_volatile_acidity,high_density;high_fixed_acidity;high_sulphates,
224,CONFIRM,citric_acid_present;high_chlorides;high_pH;high_total_so2;high_volatile_acidity,high_sulphates,
225,CONFIRM,citric_acid_present;high_chlorides;high_density;high_pH;high_volatile_acidity,high_sulphates,
226,CONFIRM,citric_acid_present;high_alcohol;high_chlorides;high_density;high_volatile_acidity,high_fixed_acidity,
227,CONFIRM,citric_acid_present;good_quality;high_chlorides;high_sulphates;high_volatile_acidity,high_density;high_fixed_acidity,
228,CONFIRM,citric_acid_present;good_quality;high_free_so2;high_sulphates;high_volatile_acidity,high_fixed_acidity,
229,CONFIRM,citric_acid_present;good_quality;high_density;high_sulphates;high_volatile_acidity,high_fixed_acidity,
230,CONFIRM,citric_acid_present;good_quality;high_pH;high_sulphates;high_volatile_acidity,high_alcohol;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_residual_sugar;high_total_so2,
231,REFUTE,high_chlorides;high_free_so2;high_pH;high_residual_sugar;high_volatile_acidity,high_density;high_sulphates,396
232,CONFIRM,high_chlorides;high_free_so2;high_pH;high_residual_sugar;high_volatile_acidity,high_density,
233,CONFIRM,high_chlorides;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_density;high_free_so2,
234,CONFIRM,high_alcohol;high_chlorides;high_pH;high_residual_sugar;high_volatile_acidity,high_density,
235,CONFIRM,high_alcohol;high_chlorides;high_residual_sugar;high_sulphates;high_volatile_acidity,citric_acid_present,
236,CONFIRM,high_free_so2;high_pH;high_residual_sugar;high_total_so2;high_volatile_acidity,high_density,
237,REFUTE,high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_chlorides;high_density,1514
238,CONFIRM,high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_density,
239,REFUTE,high_alcohol;high_chlorides;high_free_so2;high_pH;high_volatile_acidity,high_sulphates,1261
240,CONFIRM,high_alcohol;high_chlorides;high_density;high_sulphates;high_volatile_acidity,high_fixed_acidity,
241,REFUTE,good_quality;high_free_so2;high_pH;high_sulphates;high_volatile_acidity,high_chlorides,346
242,CONFIRM,high_alcohol;high_density;high_sulphates;high_total_so2;high_volatile_acidity,high_chlorides;high_fixed_acidity,
243,CONFIRM,citric_acid_present;high_chlorides;high_free_so2;high_residual_sugar;high_sulphates,high_density,
244,REFUTE,citric_acid_present;high_chlorides;high_density;high_residual_sugar;high_total_so2,high_fixed_acidity,1558
245,CONFIRM,citric_acid_present;high_free_so2;high_pH;high_residual_sugar;high_total_so2,high_sulphates,
246,CONFIRM,citric_acid_present;high_free_so2;high_pH;high_residual_sugar;high_sulphates,high_total_so2,
247,CONFIRM,citric_acid_present;high_alcohol;high_chlorides;high_free_so2;high_pH,high_sulphates,
248,CONFIRM,citric_acid_present;high_alcohol;high_chlorides;high_pH;high_sulphates,high_free_so2,
249,CONFIRM,citric_acid_present;good_quality;high_chlorides;high_pH;high_sulphates,high_alcohol;high_free_so2,
250,CONFIRM,citric_acid_present;good_quality;high_free_so2;high_sulphates;high_total_so2,high_fixed_acidity,
251,CONFIRM,citric_acid_present;high_alcohol;high_density;high_sulphates;high_total_so2,high_free_so2,
252,REFUTE,high_alcohol;high_chlorides;high_free_so2;high_sulphates;high_total_so2,citric_acid_present,1154
253,CONFIRM,high_alcohol;high_chlorides;high_density;high_free_so2;high_sulphates,high_fixed_acidity,
254,REFUTE,good_quality;high_chlorides;high_density;high_free_so2;high_sulphates,high_volatile_acidity,389
255,CONFIRM,high_alcohol;high_chlorides;high_density;high_sulphates;high_total_so2,high_fixed_acidity,
256,REFUTE,high_alcohol;high_chlorides;high_pH;high_sulphates;high_total_so2,high_volatile_acidity,1377
257,CONFIRM,high_alcohol;high_density;high_free_so2;high_sulphates;high_total_so2,citric_acid_present,
258,CONFIRM,citric_acid_present;high_density;high_fixed_acidity;high_free_so2;high_pH;high_volatile_acidity,high_total_so2,
259,REFUTE,citric_acid_present;high_alcohol;high_fixed_acidity;high_pH;high_sulphates;high_volatile_acidity,high_residual_sugar,493
260,CONFIRM,citric_acid_present;high_alcohol;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_fixed_acidity,
261,CONFIRM,citric_acid_present;high_density;high_free_so2;high_pH;high_total_so2;high_volatile_acidity,high_fixed_acidity,
262,REFUTE,good_quality;high_alcohol;high_free_so2;high_sulphates;high_total_so2;high_volatile_acidity,citric_acid_present;high_chlorides;high_density;high_fixed_acidity,1157
263,CONFIRM,good_quality;high_density;high_free_so2;high_pH;high_sulphates;high_volatile_acidity,high_chlorides,
264,CONFIRM,citric_acid_present;high_chlorides;high_density;high_residual_sugar;high_sulphates;high_total_so2,high_fixed_acidity,
265,CONFIRM,citric_acid_present;good_quality;high_chlorides;high_density;high_free_so2;high_sulphates,high_fixed_acidity,
266,CONFIRM,citric_acid_present;good_quality;high_density;high_free_so2;high_pH;high_sulphates,high_fixed_acidity;high_total_so2,
267,CONFIRM,good_quality;high_chlorides;high_density;high_free_so2;high_pH;high_sulphates,high_volatile_acidity,
268,REFUTE,citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_sulphates;high_volatile_acidity,high_alcohol,151
269,CONFIRM,citric_acid_present;good_quality;high_alcohol;high_density;high_fixed_acidity;high_sulphates;high_volatile_acidity,high_chlorides,
270,CONFIRM,citric_acid_present;high_alcohol;high_density;high_fixed_acidity;high_free_so2;high_residual_sugar;high_sulphates,high_total_so2,
271,REFUTE,citric_acid_present;good_quality;high_alcohol;high_chlorides;high_fixed_acidity;high_free_so2;high_sulphates,high_density;high_volatile_acidity,509
272,REFUTE,citric_acid_present;good_quality;high_alcohol;high_chlorides;high_fixed_acidity;high_free_so2;high_sulphates,high_density,1090
273,REFUTE,high_chlorides;high_density;high_free_so2;high_pH;high_sulphates;high_total_so2;high_volatile_acidity,high_fixed_acidity,792
274,CONFIRM,citric_acid_present;good_quality;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_sulphates;high_volatile_acidity,high_alcohol,
275,REFUTE,citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_residual_sugar;high_sulphates;high_total_so2,high_alcohol,515
276,REFUTE,citric_acid_present;good_quality;high_alcohol;high_chlorides;high_density;high_fixed_acidity;high_residual_sugar;high_sulphates,high_volatile_acidity,413
277,REFUTE,citric_acid_present;good_quality;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_sulphates;high_total_so2,high_alcohol;high_volatile_acidity,488
278,CONFIRM,high_chlorides;high_density;high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_total_so2;high_volatile_acidity,citric_acid_present;good_quality;high_alcohol;high_fixed_acidity,
279,CONFIRM,citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_pH;high_sulphates;high_total_so2;high_volatile_acidity,high_alcohol,
